file_id,node_id,subfield,description
1,1100,General Agricultural and Biological Sciences,cultivation of plants and animals to provide useful products
1,1102,Agronomy and Crop Science,"science and technology of producing and using plants for food, fuel, fiber, and reclamation"
1,1103,Animal Science and Zoology,scientific study of animals
1,1104,Aquatic Science,multidisciplinary study of freshwater and marine ecosystems
1,1105,"Ecology, Evolution, Behavior and Systematics",scientific study of the relationships between living organisms
1,1106,Food Science,applied science devoted to the study of food
1,1107,Forestry,"science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits"
1,1108,Horticulture,agriculture of plants
1,1109,Insect Science,scientific study of insects
1,1110,Plant Science,science of plant life
1,1111,Soil Science,study of soil as a natural resource on the surface of the earth
2,1200,General Arts and Humanities,"study of the products of human culture such as art, historical artifacts etc"
2,1202,History,past events and their tracks or records
2,1203,Language and Linguistics,structured system of communication
2,1204,Archeology,study of the past via material culture
2,1205,Classics,study of classical antiquity such as ancient Greece and ancient Rome
2,1206,Conservation,"practice of protecting the natural environment by individuals, organizations and governments"
2,1207,History and Philosophy of Science,academic discipline
2,1208,Literature and Literary Theory,"polysemous term referring to a written art form, and the set of all literary works"
2,1209,Museology,study of museums
2,1210,Music,art/activity of creating art using sound
2,1211,Philosophy,"study of the truths and principles of being, knowledge, or conduct"
2,1212,Religious studies,objective study of religion
2,1213,Visual Arts and Performing Arts,an expansive category encompassing creative disciplines that engage the senses and express human creativity and imagination
1,1302,Aging,biological processes in a human body coupled to increasing age
1,1303,Biochemistry,study of chemical processes in living organisms
1,1304,Biophysics,study of biological systems using methods from the physical sciences
1,1305,Biotechnology,use of living systems and organisms to develop or make useful products
1,1306,Cancer Research,"research into cancer to identify causes and develop strategies for prevention, diagnosis, treatment, and cure"
1,1307,Cell Biology,scientific discipline that studies cells
1,1308,Clinical Biochemistry,study of chemical processes in living organisms
1,1309,Developmental Biology,explores the processes by which individual organisms grow and develop (ontogeny)
1,1310,Endocrinology,medical specialty
1,1311,Genetics,"science of genes, heredity, and variation in living organisms"
1,1312,Molecular Biology,branch of biology that deals with the molecular basis of biological activity
1,1313,Molecular Medicine,medical specialty and academic discipline
1,1314,Physiology,science regarding function of organisms or living systems
1,1315,Structural Biology,study of molecular structures in biology
2,1402,Accounting,"measurement, processing and communication of financial information about economic entities"
2,1403,Business and International Management,administration of a profit-oriented enterprise
2,1404,Management Information Systems,information system used for decision-making
2,1405,Management of Technology and Innovation,set of management disciplines that allows organizations to manage their technological fundamentals to create competitive advantage
2,1406,Marketing,"study and process of promoting, distributing, and selling products or services to customers"
2,1407,Organizational Behavior and Human Resource Management,study of human behavior in organizational settings
2,1408,Strategy and Management,high-level plan to achieve objectives in uncertain conditions
2,1409,"Tourism, Leisure and Hospitality Management",study of the hospitality industry.
2,1410,Industrial relations,"study of the relationship between employers, employees and others"
3,1502,Bioengineering,application of biology and engineering to create useful products
3,1503,Catalysis,process of increasing the rate of a chemical reaction
3,1504,Chemical Health and Safety,prevention of occupational hazards
3,1506,Filtration and Separation,separating components suspended in a fluid based on granularity properties relying on a filter device
3,1507,Fluid Flow and Transfer Processes,movement of fluid matter
3,1904,Earth-Surface Processes,term for the surface of the Earth
3,1508,Process Chemistry and Technology,arm of pharmaceutical chemistry concerned with the development and optimization of a synthetic scheme and pilot plant procedure to manufacture compounds for the drug development phase
3,1602,Analytical Chemistry,"study of the separation, identification, and quantification of the chemical components of materials"
3,1603,Electrochemistry,branch of chemistry
3,1604,Inorganic Chemistry,study of the synthesis and behavior of inorganic and organometallic compounds
3,1605,Organic Chemistry,"subdiscipline within chemistry involving the scientific study of carbon-based compounds, hydrocarbons, and their derivatives"
3,1606,Physical and Theoretical Chemistry,academic field
3,1607,Spectroscopy,measurement and interpretation of interactions between matter and electromagnetic radiation of varying frequencies
3,1702,Artificial Intelligence,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents
3,1703,Computational Theory and Mathematics,area of mathematics
3,1704,Computer Graphics and Computer-Aided Design,sub-field of computer science
3,1705,Computer Networks and Communications,network that allows computers to share resources and communicate with each other
3,1706,Computer Science Applications,study of computation
3,1707,Computer Vision and Pattern Recognition,computerized information extraction from images
3,1708,Hardware and Architecture,physical components of a computer
3,1709,Human-Computer Interaction,academic discipline
3,1710,Information Systems,"academic study of systems with a specific reference to information and the complementary networks of hardware and software that people and organizations use to collect, filter, process, create and also distribute data"
3,1711,Signal Processing,models and analyzes data representations of physical events
3,1712,Software,non-tangible executable component of a computer
2,1800,General Decision Sciences,branch of applied probability theory
2,1802,Information Systems and Management,book
2,1803,Management Science and Operations Research,study of problem-solving in human organizations
2,1804,"Statistics, Probability and Uncertainty","study of the collection, analysis, interpretation, and presentation of data"
3,1902,Atmospheric Science,umbrella term for the study of the atmosphere
3,1906,Geochemistry and Petrology,"scientific study of the chemical composition of the Earth and other planets, focusing on the processes and conditions that influence the formation, structure, and composition of rocks and minerals"
3,1907,Geology,"study of the composition, structure, physical properties, and history of Earth's components, and the processes by which they are shaped"
3,1908,Geophysics,study of physical processes and phenomena occurring in the earth and in its vicinity
3,1910,Oceanography,branch of Earth science that studies the ocean
3,1911,Paleontology,scientific study of the past of life on Earth through fossils
3,1912,Space and Planetary Science,science of astronomical objects apparently in orbit around one or more stellar objects within a few light years
2,2000,"General Economics, Econometrics and Finance","social science that studies the production, distribution, and consumption of goods and services"
2,2002,Economics and Econometrics,"social science that studies the production, distribution, and consumption of goods and services"
2,2003,Finance,"academic discipline studying businesses, financing, investments and protection of economic value"
3,2100,General Energy,Czech company
3,2102,Energy Engineering and Power Technology,broad field of engineering dealing with energy
3,2103,Fuel Technology,"technology used in the extraction, processing and consumption of fuel resources"
3,2104,Nuclear Energy and Engineering,power generated from nuclear reactions
